author,tags,text
Steve Martin,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""humor,obvious,simile""> 
            
            <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>
            
            <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>
            
            <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>
            
        </div>","“A day without sunshine is like, you know, night.”"
Steve Martin,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""humor,obvious,simile""> 
            
            <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>
            
            <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>
            
            <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>
            
        </div>","“A day without sunshine is like, you know, night.”"
Steve Martin,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""humor,obvious,simile""> 
            
            <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>
            
            <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>
            
            <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>
            
        </div>","“A day without sunshine is like, you know, night.”"
Steve Martin,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""humor,obvious,simile""> 
            
            <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>
            
            <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>
            
            <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>
            
        </div>","“A day without sunshine is like, you know, night.”"
Steve Martin,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""humor,obvious,simile""> 
            
            <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>
            
            <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>
            
            <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>
            
        </div>","“A day without sunshine is like, you know, night.”"
Steve Martin,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""humor,obvious,simile""> 
            
            <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>
            
            <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>
            
            <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>
            
        </div>","“A day without sunshine is like, you know, night.”"
Steve Martin,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""humor,obvious,simile""> 
            
            <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>
            
            <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>
            
            <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>
            
        </div>","“A day without sunshine is like, you know, night.”"
Steve Martin,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""humor,obvious,simile""> 
            
            <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>
            
            <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>
            
            <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>
            
        </div>","“A day without sunshine is like, you know, night.”"
Steve Martin,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""humor,obvious,simile""> 
            
            <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>
            
            <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>
            
            <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>
            
        </div>","“A day without sunshine is like, you know, night.”"
Steve Martin,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""humor,obvious,simile""> 
            
            <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>
            
            <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>
            
            <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>
            
        </div>","“A day without sunshine is like, you know, night.”"
Allen Saunders,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""fate,life,misattributed-john-lennon,planning,plans""> 
            
            <a class=""tag"" href=""/tag/fate/page/1/"">fate</a>
            
            <a class=""tag"" href=""/tag/life/page/1/"">life</a>
            
            <a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>
            
            <a class=""tag"" href=""/tag/planning/page/1/"">planning</a>
            
            <a class=""tag"" href=""/tag/plans/page/1/"">plans</a>
            
        </div>",“Life is what happens to us while we are making other plans.”
Allen Saunders,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""fate,life,misattributed-john-lennon,planning,plans""> 
            
            <a class=""tag"" href=""/tag/fate/page/1/"">fate</a>
            
            <a class=""tag"" href=""/tag/life/page/1/"">life</a>
            
            <a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>
            
            <a class=""tag"" href=""/tag/planning/page/1/"">planning</a>
            
            <a class=""tag"" href=""/tag/plans/page/1/"">plans</a>
            
        </div>",“Life is what happens to us while we are making other plans.”
Allen Saunders,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""fate,life,misattributed-john-lennon,planning,plans""> 
            
            <a class=""tag"" href=""/tag/fate/page/1/"">fate</a>
            
            <a class=""tag"" href=""/tag/life/page/1/"">life</a>
            
            <a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>
            
            <a class=""tag"" href=""/tag/planning/page/1/"">planning</a>
            
            <a class=""tag"" href=""/tag/plans/page/1/"">plans</a>
            
        </div>",“Life is what happens to us while we are making other plans.”
Allen Saunders,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""fate,life,misattributed-john-lennon,planning,plans""> 
            
            <a class=""tag"" href=""/tag/fate/page/1/"">fate</a>
            
            <a class=""tag"" href=""/tag/life/page/1/"">life</a>
            
            <a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>
            
            <a class=""tag"" href=""/tag/planning/page/1/"">planning</a>
            
            <a class=""tag"" href=""/tag/plans/page/1/"">plans</a>
            
        </div>",“Life is what happens to us while we are making other plans.”
Allen Saunders,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""fate,life,misattributed-john-lennon,planning,plans""> 
            
            <a class=""tag"" href=""/tag/fate/page/1/"">fate</a>
            
            <a class=""tag"" href=""/tag/life/page/1/"">life</a>
            
            <a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>
            
            <a class=""tag"" href=""/tag/planning/page/1/"">planning</a>
            
            <a class=""tag"" href=""/tag/plans/page/1/"">plans</a>
            
        </div>",“Life is what happens to us while we are making other plans.”
Allen Saunders,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""fate,life,misattributed-john-lennon,planning,plans""> 
            
            <a class=""tag"" href=""/tag/fate/page/1/"">fate</a>
            
            <a class=""tag"" href=""/tag/life/page/1/"">life</a>
            
            <a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>
            
            <a class=""tag"" href=""/tag/planning/page/1/"">planning</a>
            
            <a class=""tag"" href=""/tag/plans/page/1/"">plans</a>
            
        </div>",“Life is what happens to us while we are making other plans.”
Allen Saunders,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""fate,life,misattributed-john-lennon,planning,plans""> 
            
            <a class=""tag"" href=""/tag/fate/page/1/"">fate</a>
            
            <a class=""tag"" href=""/tag/life/page/1/"">life</a>
            
            <a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>
            
            <a class=""tag"" href=""/tag/planning/page/1/"">planning</a>
            
            <a class=""tag"" href=""/tag/plans/page/1/"">plans</a>
            
        </div>",“Life is what happens to us while we are making other plans.”
Allen Saunders,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""fate,life,misattributed-john-lennon,planning,plans""> 
            
            <a class=""tag"" href=""/tag/fate/page/1/"">fate</a>
            
            <a class=""tag"" href=""/tag/life/page/1/"">life</a>
            
            <a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>
            
            <a class=""tag"" href=""/tag/planning/page/1/"">planning</a>
            
            <a class=""tag"" href=""/tag/plans/page/1/"">plans</a>
            
        </div>",“Life is what happens to us while we are making other plans.”
Allen Saunders,"<div class=""tags"">
            Tags:
            <meta class=""keywords"" itemprop=""keywords"" content=""fate,life,misattributed-john-lennon,planning,plans""> 
            
            <a class=""tag"" href=""/tag/fate/page/1/"">fate</a>
            
            <a class=""tag"" href=""/tag/life/page/1/"">life</a>
            
            <a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>
            
            <a class=""tag"" href=""/tag/planning/page/1/"">planning</a>
            
            <a class=""tag"" href=""/tag/plans/page/1/"">plans</a>
            
        </div>",“Life is what happens to us while we are making other plans.”
